STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490320,200,94
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490321,217,50
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490322,200,89
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490323,133,44
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490324,156,22
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490325,178,28
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490326,206,72
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490327,261,67
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490328,150,61
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490329,156,39
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490330,194,11
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490331,89,17
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490401,156,33
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490402,178,39
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490403,211,50
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490404,239,61
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490405,278,61
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490406,267,128
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490407,233,106
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490408,239,72
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490409,256,106
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490410,272,72
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490411,289,78
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490412,306,83
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490413,278,139
